Признак,Вес
Online boarding,3.0625252458410803
Business_travel,2.727632112257195
Loyalty,2.047329971371964
Inflight wifi service,1.9391278983500555
Arrival Delay in Minutes,-1.6863931306307907
Checkin service,1.6107107434626953
On-board service,1.5190290827286592
Leg room service,1.2359167577719326
Cleanliness,1.145026950166154
Age,-0.873007725409278
Eco Plus,-0.8560963303721643
Eco,-0.740647586873474
Ease of Online booking,-0.7396237197290422
Baggage handling,0.7146186232270955
Departure/Arrival time convenient,-0.6115660719152689
Inflight service,0.5387745779047197
Inflight entertainment,0.3470139978538048
Seat comfort,0.33472327927200096
Departure Delay in Minutes,0.17199320868422335
Food and drink,-0.16751484208671424
Flight Distance,-0.15977242887968565
Gate location,0.15541067017326668
Gender,-0.031223105678996117
